日期,1年
2020-09-22,2.6082
2020-09-23,2.6282
2020-09-24,2.5942
2020-09-25,2.6116
2020-09-27,2.6005
2020-09-28,2.6075
2020-09-29,2.6381
2020-09-30,2.6462
2020-10-09,2.7017
2020-10-10,2.7017
2020-10-12,2.6937
2020-10-13,2.6959
2020-10-14,2.7189
2020-10-15,2.6882
2020-10-16,2.6961
2020-10-19,2.6973
2020-10-20,2.7047
2020-10-21,2.6848
2020-10-22,2.6461
2020-10-23,2.6821
2020-10-26,2.6917
2020-10-27,2.6867
2020-10-28,2.7228
2020-10-29,2.7191
2020-10-30,2.7273
2020-11-02,2.7525
2020-11-03,2.7322
2020-11-04,2.7347
2020-11-05,2.7481
2020-11-06,2.7832
2020-11-09,2.7944
2020-11-10,2.7882
2020-11-11,2.8009
2020-11-12,2.8287
2020-11-13,2.8464
2020-11-16,2.8497
2020-11-17,2.8634
2020-11-18,2.94
2020-11-19,2.9433
2020-11-20,2.9503
2020-11-23,2.951
2020-11-24,2.969
2020-11-25,2.9461
2020-11-26,2.9357
2020-11-27,2.9104
2020-11-30,2.831
2020-12-01,2.8457
2020-12-02,2.8608
2020-12-03,2.8761
2020-12-04,2.8708
2020-12-07,2.8614
2020-12-08,2.8417
2020-12-09,2.8449
2020-12-10,2.8047
2020-12-11,2.8334
2020-12-14,2.8245
2020-12-15,2.7888
2020-12-16,2.7312
2020-12-17,2.7273
2020-12-18,2.7267
2020-12-21,2.6919
2020-12-22,2.6695
2020-12-23,2.6551
2020-12-24,2.6501
2020-12-25,2.6096
2020-12-28,2.5671
2020-12-29,2.5486
2020-12-30,2.5036
2020-12-31,2.4739
2021-01-04,2.4952
2021-01-05,2.4714
2021-01-06,2.4109
2021-01-07,2.3568
2021-01-08,2.3568
2021-01-11,2.3653
2021-01-12,2.335
2021-01-13,2.2914
2021-01-14,2.3405
2021-01-15,2.3843
2021-01-18,2.45
2021-01-19,2.4859
2021-01-20,2.47
2021-01-21,2.4475
2021-01-22,2.4525
2021-01-25,2.4911
2021-01-26,2.5575
2021-01-27,2.588
2021-01-28,2.6957
2021-01-29,2.6799
2021-02-01,2.6043
2021-02-02,2.6227
2021-02-03,2.6938
2021-02-04,2.7155
2021-02-05,2.7021
2021-02-07,2.6928
2021-02-08,2.6968
2021-02-09,2.6772
2021-02-10,2.6559
2021-02-18,2.6916
2021-02-19,2.6512
2021-02-20,2.6249
2021-02-22,2.6225
2021-02-23,2.607
2021-02-24,2.5935
2021-02-25,2.5981
2021-02-26,2.6036
2021-03-01,2.6096
2021-03-02,2.6169
2021-03-03,2.6203
2021-03-04,2.6365
2021-03-05,2.639
2021-03-08,2.654
2021-03-09,2.634
2021-03-10,2.6264
2021-03-11,2.6288
2021-03-12,2.6407
2021-03-15,2.675
2021-03-16,2.6663
2021-03-17,2.6429
2021-03-18,2.6496
2021-03-19,2.6395
2021-03-22,2.626
2021-03-23,2.6209
2021-03-24,2.6059
2021-03-25,2.5904
2021-03-26,2.6073
2021-03-29,2.6075
2021-03-30,2.593
2021-03-31,2.577
2021-04-01,2.5806
2021-04-02,2.58
2021-04-06,2.5877
2021-04-07,2.6105
2021-04-08,2.6105
2021-04-09,2.5915
2021-04-12,2.5843
2021-04-13,2.5643
2021-04-14,2.5679
2021-04-15,2.5379
2021-04-16,2.5295
2021-04-19,2.5195
2021-04-20,2.4995
2021-04-21,2.4595
2021-04-22,2.4495
2021-04-23,2.39
2021-04-25,2.3858
2021-04-26,2.4313
2021-04-27,2.4226
2021-04-28,2.3964
2021-04-29,2.3799
2021-04-30,2.3591
2021-05-06,2.3266
2021-05-07,2.32
2021-05-08,2.3193
2021-05-10,2.3129
2021-05-11,2.3078
2021-05-12,2.2974
2021-05-13,2.3286
2021-05-14,2.33
2021-05-17,2.3504
2021-05-18,2.3532
2021-05-19,2.3506
2021-05-20,2.3486
2021-05-21,2.3272
2021-05-24,2.3418
2021-05-25,2.3468
2021-05-26,2.3414
2021-05-27,2.3463
2021-05-28,2.41
2021-05-31,2.4113
2021-06-01,2.3725
2021-06-02,2.3804
2021-06-03,2.3663
2021-06-04,2.3934
2021-06-07,2.4116
